,Company,Date,Open,High,Low,Adj Close,Volume,H-L,O-AdjC,7 Day MA,14 Day MA,21 Day MA,7 Days Standard Deviation,Increase
0,BIG,2010-01-04,29.379999,29.51,28.6,23.475523,1941400,0.9100000000000001,5.9044760000000025,1778700.0,1833892.857142857,1578828.5714285714,473979.28827564366,False
1,BIG,2010-01-05,28.950001,28.99,28.639999,23.475523,1381400,0.3500009999999989,5.474478000000001,1824900.0,1771250.0,1522119.0476190476,502490.28419889446,True
2,BIG,2010-01-06,28.75,29.35,28.639999,23.783562,1676100,0.7100010000000019,4.966438,1847842.857142857,1755300.0,1551057.142857143,485081.86895805196,True
3,BIG,2010-01-07,29.629999,29.82,29.200001,24.051069,2100200,0.619999,5.578930000000003,1864971.4285714286,1733978.5714285714,1529590.4761904762,480813.19423982326,True
4,BIG,2010-01-08,29.540001,29.969999,29.49,24.196974,1525700,0.47999900000000295,5.343026999999999,1759085.7142857143,1640007.142857143,1465080.9523809524,498635.4821727317,False
5,BIG,2010-01-11,29.879999,30.0,29.540001,24.067286,1146800,0.4599989999999998,5.812713000000002,1907671.4285714286,1623292.857142857,1427971.4285714286,558344.0381144579,True
6,BIG,2010-01-12,29.85,30.59,29.18,24.488796,2679300,1.4100000000000001,5.361204000000001,2009214.2857142857,1597628.5714285714,1441971.4285714286,468072.27899903123,True
7,BIG,2010-01-13,30.84,31.209999,30.370001,25.266991,2264800,0.8399980000000014,5.573008999999999,1889085.7142857143,1478892.857142857,1346852.380952381,380373.528553828,False
8,BIG,2010-01-14,31.120001,31.190001,30.5,24.910322,1542000,0.6900009999999988,6.209678999999998,1717600.0,1370728.5714285714,1284933.3333333333,438484.7285172622,True
9,BIG,2010-01-15,30.940001,31.32,30.790001,25.145405,1796000,0.5299990000000001,5.7945959999999985,1662757.142857143,1402664.2857142857,1249009.5238095238,479141.0047668427,False
10,BIG,2010-01-19,31.0,31.389999,30.790001,25.121084,1359000,0.5999979999999994,5.878916,1602985.7142857143,1361900.0,1213438.0952380951,484854.21793881635,False
11,BIG,2010-01-20,29.709999,30.15,29.5,24.39963,2565800,0.6499999999999986,5.3103690000000014,1520928.5714285714,1318078.5714285714,1185314.2857142857,561716.4783418912,False
12,BIG,2010-01-21,30.23,30.5,29.92,24.39963,1857600,0.5799999999999983,5.830370000000002,1338914.2857142857,1188121.4285714286,1099976.1904761905,365974.7939352086,False
13,BIG,2010-01-22,30.0,30.34,29.5,23.986214,1838400,0.8399999999999999,6.013786,1186042.857142857,1158350.0,1052228.5714285714,339957.5555739815,False
14,BIG,2010-01-25,29.93,30.02,29.530001,23.978107,1064400,0.48999900000000096,5.951892999999998,1068700.0,1075735.7142857143,1033690.4761904762,212340.0910937788,True
15,BIG,2010-01-26,29.57,29.99,29.35,24.172659,1158100,0.639999999999997,5.397341000000001,1023857.1428571428,1068600.0,1032947.619047619,239873.41219391327,False
16,BIG,2010-01-27,29.84,29.870001,28.799999,23.686279,1377600,1.0700019999999988,6.153721000000001,1142571.4285714286,1042135.7142857143,1098823.8095238095,417098.11012444994,False
17,BIG,2010-01-28,29.280001,29.41,28.780001,23.556591,784600,0.6299990000000015,5.723409999999998,1120814.2857142857,1018664.2857142857,1153500.0,408146.99882892834,False
18,BIG,2010-01-29,29.129999,29.219999,28.389999,23.029686,1291700,0.8300000000000018,6.100313,1115228.5714285714,1017507.1428571428,1197214.2857142857,412949.3525301887,True
19,BIG,2010-02-01,28.690001,28.889999,28.51,23.386362,787500,0.379998999999998,5.303639,1037328.5714285715,980507.1428571428,1264266.6666666667,423607.57687236124,True
20,BIG,2010-02-02,28.959999,29.43,28.870001,23.743029,1017000,0.5599990000000012,5.21697,1130657.142857143,985321.4285714285,1438195.238095238,430200.4478218525,False
21,BIG,2010-02-03,29.08,29.389999,29.02,23.678179,750500,0.36999899999999997,5.401820999999998,1082771.4285714286,1016185.7142857143,1505214.2857142857,457947.3572811796,True
22,BIG,2010-02-04,29.07,30.040001,29.0,24.042961,1989100,1.0400010000000002,5.027039000000002,1113342.857142857,1037492.8571428572,1558623.8095238095,441596.4572099828,False
23,BIG,2010-02-05,29.67,29.76,29.02,23.897049,1225300,0.740000000000002,5.772951000000003,941700.0,1076950.0,1529171.4285714286,266721.08492366545,False
24,BIG,2010-02-08,29.530001,29.809999,29.190001,23.670073,745500,0.6199980000000025,5.859928,916514.2857142857,1169842.857142857,1536452.380952381,246293.97317938943,True
25,BIG,2010-02-09,29.469999,29.9,29.24,24.132124,746400,0.6600000000000001,5.337875,919785.7142857143,1238207.142857143,1560752.380952381,244143.42639739704,False
26,BIG,2010-02-10,29.83,29.950001,29.530001,24.051069,1440800,0.4200000000000017,5.778931,923685.7142857143,1377735.7142857143,1588404.761904762,241546.81550712412,True
27,BIG,2010-02-11,29.700001,30.33,29.4,24.545542,681800,0.9299999999999997,5.154458999999999,839985.7142857143,1591964.2857142857,1557871.4285714286,117533.28317145414,True
28,BIG,2010-02-12,29.99,30.66,29.84,24.813049,964500,0.8200000000000003,5.176950999999999,949600.0,1716435.7142857143,1572671.4285714286,226333.81162723852,True
29,BIG,2010-02-16,30.77,31.139999,30.66,25.129187,787600,0.4799989999999994,5.640812999999998,961642.8571428572,1781264.2857142857,1595171.4285714286,229032.86636976586,True
30,BIG,2010-02-17,31.049999,31.129999,30.860001,25.194036,1049000,0.26999800000000107,5.855962999999999,1212200.0,1822907.142857143,1632542.857142857,584734.1129583111,True
31,BIG,2010-02-18,31.1,31.35,30.9,25.356161,768400,0.45000000000000284,5.743839000000001,1423171.4285714286,1846421.4285714286,1625323.8095238095,734919.4313747901,True
32,BIG,2010-02-19,31.18,31.450001,31.09,25.421015,773700,0.36000100000000046,5.758984999999999,1556628.5714285714,1881235.7142857143,1637923.8095238095,687170.7039204527,False
33,BIG,2010-02-22,31.459999,31.6,31.08,25.380474,854900,0.5200000000000031,6.079525,1831785.7142857143,1920764.2857142857,1666671.4285714286,703999.6579312712,True
34,BIG,2010-02-23,31.209999,31.4,30.879999,25.396692,1449100,0.520000999999997,5.813306999999998,2343942.8571428573,1916814.2857142857,1679847.619047619,1033831.3013213697,True
35,BIG,2010-02-24,31.459999,31.82,31.299999,25.761471,1048800,0.5200010000000006,5.698528,2483271.4285714286,1884207.142857143,1655185.7142857143,967433.4657289074,True
36,BIG,2010-02-25,31.610001,32.919998,31.4,26.669367,2541500,1.519998000000001,4.940633999999999,2600885.714285714,1911935.7142857143,1645909.5238095238,825528.6590656774,True
37,BIG,2010-02-26,32.990002,33.82,32.900002,27.155739,2525800,0.9199979999999996,5.834262999999996,2433614.285714286,1842714.2857142857,1577104.761904762,932332.0322542537,True
38,BIG,2010-03-01,34.02,34.419998,33.75,27.763699,1702600,0.6699979999999996,6.256301000000004,2269671.4285714286,1726400.0,1514266.6666666667,1000140.0912076349,False
