,Company,Date,Open,High,Low,Adj Close,Volume,H-L,O-AdjC,7 Day MA,14 Day MA,21 Day MA,7 Days Standard Deviation,Increase
408,WMT,2011-08-16,51.439999,52.48,51.119999,40.96384,25595500,1.360000999999997,10.476159000000003,18789614.285714287,15103700.0,14147985.714285715,5300917.844090391,False
191,WMK,2010-10-06,39.209999,39.419998,39.009998,27.358524,36300,0.4099999999999966,11.851475000000004,24728.571428571428,26328.571428571428,26909.52380952381,7719.4955952379405,False
554,WMK,2012-03-15,42.810001,43.07,42.5,33.318302,25000,0.5700000000000003,9.491698999999997,35414.28571428572,35164.28571428572,33714.28571428572,19029.407961020195,False
2263,TGT,2018-12-31,65.330002,66.18,65.220001,61.662712,4178500,0.9599990000000105,3.667289999999994,5503942.857142857,5665085.714285715,5225900.0,1217531.8087451032,True
917,BIG,2013-08-26,33.119999,34.459999,33.119999,27.577257,1479100,1.3400000000000034,5.5427420000000005,1047342.8571428572,712321.4285714285,675452.380952381,417428.96010542184,False
1690,KR,2016-09-20,30.950001,31.379999,30.93,27.847445,6114300,0.4499990000000018,3.102556,9644542.857142856,12978628.57142857,13708485.714285715,2232492.6324352226,False
206,SPTN,2010-10-27,15.34,15.42,14.94,11.202744,54000,0.4800000000000004,4.137256000000001,69828.57142857143,62571.42857142857,63942.857142857145,14589.302762710795,False
2357,WMT,2019-05-16,102.830002,103.959999,100.839996,97.170425,17122000,3.120002999999997,5.659576999999999,8836457.142857144,7791192.857142857,7222323.80952381,4044319.7142437203,False
1848,KR,2017-05-08,29.41,29.459999,28.85,26.093916,8986000,0.6099989999999984,3.316084,10237957.142857144,9109878.57142857,8687342.857142856,1992332.271382421,True
462,WMK,2011-11-01,39.080002,39.970001,38.77,28.900007,88200,1.2000010000000003,10.179995000000002,56514.28571428572,42771.42857142857,43361.90476190476,17589.804560875484,True
416,WMK,2011-08-26,37.939999,38.490002,37.459999,27.61363,39000,1.0300029999999936,10.326369,52057.142857142855,53778.57142857143,53190.47619047619,14922.644072765688,True
1343,IMKTA,2015-05-06,40.709999,41.77,40.669998,37.199741,81800,1.1000020000000035,3.5102580000000003,242714.2857142857,183857.14285714287,163490.47619047618,139009.83961649652,True
382,IMKTA,2011-07-11,17.030001,17.26,16.93,13.028358,43600,0.33000000000000185,4.001642999999998,27257.14285714286,28835.714285714286,34442.857142857145,10277.556288598284,False
876,WMK,2013-06-27,46.610001,47.919998,46.599998,37.605759,127900,1.3200000000000003,9.004241999999998,50400.0,36900.0,34076.19047619047,39485.9106879548,False
1789,IMKTA,2017-02-10,46.650002,47.200001,46.5,43.250553,29500,0.7000010000000003,3.399449000000004,38300.0,41535.71428571428,40966.666666666664,11239.089947906941,False
2158,VLGEA,2018-07-31,28.889999,28.889999,26.84,23.392536,79000,2.0499989999999997,5.497463,36400.0,27685.714285714286,23742.85714285714,23427.273483210607,False
2023,SPTN,2018-01-17,24.42,24.950001,24.4,20.838737,187300,0.5500010000000017,3.5812630000000034,213828.57142857142,248835.7142857143,234080.95238095237,45592.440297102956,False
1038,BIG,2014-02-19,26.780001,27.34,26.77,21.789434,1478700,0.5700000000000003,4.990566999999999,1147271.4285714286,2412657.1428571427,2096176.1904761905,377372.3576608793,False
1093,TGT,2014-05-08,58.290001,58.759998,57.98,46.4165,6808800,0.7799980000000062,11.873500999999997,5802414.285714285,7138257.142857143,6240300.0,1466567.6453431484,True
1946,IMKTA,2017-09-26,24.450001,25.25,24.35,23.319038,161800,0.8999999999999986,1.1309630000000013,109642.85714285714,91714.28571428571,89976.19047619047,29826.347755100072,True
1838,KR,2017-04-24,30.09,30.219999,29.92,27.194698,7059800,0.2999989999999997,2.895302000000001,8355571.428571428,9172957.142857144,9029028.57142857,2686287.2502046847,False
